,City,latitude,longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,ahipara,-31.351575674499102,172.8961223092477,57.53,85.0,56.0,11.68
3,kimamba,-6.858006914453071,37.14403583075074,64.55,98.0,92.0,3.18
4,cidreira,-53.66644462305497,-27.37088260788147,50.33,75.0,32.0,15.82
5,iqaluit,61.64111745350826,-69.91502667047071,44.6,81.0,75.0,2.95
6,arraial do cabo,-30.79500015959826,-36.98787975876283,71.6,88.0,75.0,3.36
7,busselton,-51.89135807563582,105.77419679461224,53.39,100.0,88.0,8.21
8,ribeira grande,28.027536990337936,-35.543461288165105,73.82,100.0,0.0,9.22
9,butaritari,28.66408411191557,177.33009212644686,85.16,100.0,68.0,6.76
10,saint-philippe,-60.44247114836924,71.39663334953963,82.4,44.0,1.0,5.82
11,talnakh,69.65531634812265,93.99001965684937,51.5,91.0,56.0,3.4
12,hithadhoo,-1.7552900323806568,75.7544808526319,80.3,100.0,36.0,7.43
13,mirabad,30.397577902396506,62.1443857304474,57.62,32.0,0.0,7.2
14,rikitea,-34.02428217306607,-125.2361823826096,72.83,100.0,0.0,13.8
15,merauke,-8.755262714158093,139.9745739492651,80.03,84.0,64.0,10.56
16,roros,62.27485931327081,12.451820477581549,33.8,100.0,8.0,2.24
17,bredasdorp,-56.607206771883774,22.43085456238927,50.0,81.0,76.0,14.99
18,klyuchi,56.90672414342899,161.53941980772066,47.09,86.0,0.0,3.62
19,new norfolk,-89.98138869693717,119.45816708468732,48.2,61.0,75.0,13.87
20,chandla,25.077682175832976,80.02404074927972,74.63,97.0,92.0,10.0
21,ponta delgada,33.79749906015475,-26.008054049708477,71.6,78.0,40.0,10.29
22,hobart,-58.83890477017657,153.84423529966705,48.2,61.0,75.0,13.87
23,verkhoyansk,66.17959980950954,132.4640832959309,49.16,76.0,0.0,3.62
26,sao filipe,14.832613356753939,-24.108219240526807,79.04,98.0,8.0,7.09
27,mar del plata,-50.51166468683645,-47.026733573886645,60.23,45.0,32.0,25.55
28,airai,9.63828929228336,140.88349150607763,72.38,74.0,0.0,1.5
